,,,,,
Word,Pronunciation,Mean_A,Nghĩa tiếng Việt,ExampleSentence,TopicId
E-commerce (n),ˌiː ˈkɑː.mɜːrs,Online business,Thương mại điện tử,The company expanded its sales through e-commerce.,107
Expenditure (n),ɪkˈspen.dɪ.tʃər,"Spending, expenses",Chi phí,The company is reviewing its expenditure for cost-cutting.,107
Economics (n),ˌiː.kəˈnɑː.mɪks,Study of economy,Kinh tế học,He studied economics to understand market trends.,107
Enterprise (n),ˈen.tər.praɪz,Large organization,Tổ chức lớn,The enterprise operates in multiple countries.,107
Finance (n),faɪˈnæns,Money management,Tài chính,The finance department handles budgeting and investments.,107
Franchise (n),ˈfræn.tʃaɪz,Authorized outlet,Nhượng quyền,He opened a new franchise of the popular fast-food chain.,107
Import (n),ɪmˈpɔːrt,Bring goods from abroad,Nhập khẩu,The country relies on oil import for its energy needs.,107
Investment (n),ɪnˈves.t̬mənt,Capital expenditure,Đầu tư,The company plans to increase investment in research.,107
Invoice (n),ˈɪn.vɔɪs,Bill for goods or services,Hóa đơn,The invoice includes a breakdown of the total cost.,107
Market (n),ˈmɑːr.kɪt,Buying and selling,Thị trường,The company is expanding its presence in the Asian market.,107
Merchandise (n),ˈmɜːr.tʃən.daɪz,Goods for sale,Hàng hóa,The store offers a wide range of high-quality merchandise.,107
Manufacturer (n),ˌmæn.jəˈfæk.tʃər.ɚ,Producer of goods,Nhà sản xuất,The manufacturer is known for its durable products.,107
Management (n),ˈmæn.ɪdʒ.mənt,"Handling, supervision",Quản lý,Effective management is crucial for business success.,107
Monopoly (n),məˈnɑː.pəl.i,Exclusive control,Thế độc quyền,The company had a monopoly on the market for many years.,107
Negotiation (n),nɪˌɡoʊ.ʃiˈeɪ.ʃən,Discussion for agreement,Đàm phán,Successful negotiation led to a mutually beneficial deal.,107
Non-profit,ˌnɑːnˈprɑː.fɪt,not intended to make a profit,Phi lợi nhuận,The organization operates as a nonprofit to help the community.,107
Supply (n) (v),səˈplaɪ,to provide something that is wanted or needed,Cung cấp,The company supplies 100 kilos per day. ,107
Sales (n),seɪlz,"Goods sold, revenue",Doanh số bán ra,The company experienced a significant increase in sales.,107
Stock (n),stɑːk,the total amount of goods or the amount of a particular type of goods available in a shop,Đồ tích trữ,The stock level should be managed to avoid shortages.,107
Service (n),ˈsɜːr.vɪs,"Assistance, offering",Dịch vụ,The company provides excellent customer service.,107
Strategy (n),ˈstræt̬.ə.dʒi,"Plan, approach",Chiến lược,The marketing strategy aims to target a younger audience.,107
Stockholder (n),ˈstɑːkˌhoʊl.dɚ,"Shareholder, owner",Cổ đông,The stockholders receive dividends from the company's profits.,107
VAT (Value Added Tax),viː.eɪˈtiː,Consumption tax,Thuế giá trị gia tăng,The price includes a 10% VAT for government revenue.,107
Trade (n),treɪd,Buying and selling,Giao dịch (buôn bán),International trade contributes to economic growth.,107
Transaction (n),trænˈzæk.ʃən,an occasion when someone buys or sells something,Giao dịch,The online transaction was secure and convenient.,107
Terms (n),tɝːmz,"Conditions, agreement",Điều khoản,The contract includes the terms of payment and delivery.,107
Transparency (n),trænsˈper.ən.si,"Openness, clarity",Sự minh bạch,The company emphasizes transparency in its operations.,107
Trademark (n),ˈtreɪdˌmɑːrk,Registered symbol,"Nhãn hiệu, thương hiệu",The company's trademark is recognizable worldwide.,107
Transfer (v),trænsˈfɝː,"Move, shift",Chuyển nhượng,That employee transfers to a different branch.,107
Wholesale (adj),‘hoʊl.seɪl,Selling in bulk,Bán sỉ,The company supplies products to other retailers at wholesale prices.,107
Warranty (n),ˈwɔːr.ən.ti,"Guarantee, promise",Bảo hành,The product comes with a one-year warranty against defects.,107
Warehouse (n),ˈwɛrˌhaʊs,Storage facility,Kho,The company rented a warehouse to store its inventory.,107
Wage (n),weɪdʒ,Payment for work,Lương,The employees received a wage increase after negotiations.,107
Workforce (n),ˈwɝːk.fɔːrs,"Employees, labor force",Lực lượng lao động,The company has a diverse and skilled workforce.,107
Worldwide (adj),ˈwɝːldˌwaɪd,"Global, all over the world",Trên toàn thế giới,The brand is recognized and respected worldwide.,107
Asset (n),ˈæs.et,"Items of value owned by a person or company, regarded as having commercial value",Tài sản,"The company's assets include properties, equipment, and investments.",106
Accountant (n),əˈkaʊn.tənt,A person whose job is to keep or inspect financial accounts,Kế toán viên,The accountant is responsible for preparing the financial statements.,106
Accrual (n),əˈkruː.əl,"The accumulation or increase of something over time, such as interest or expenses",Tích luỹ,Accrual accounting recognizes revenue and expenses when earned or incurred.,106
Audit (n) (v),ˈɔː.dɪt,"An official inspection of an organization's accounts, typically by an independent body",Kiểm toán,The company undergoes an annual audit to ensure financial accuracy.,106
Amortization (n),əˌmɔː.tɪˈzeɪ.ʃən,A reduction in the value of an intangible asset over time,Khấu hao đối với tài sản cố định vô hình,Amortization is used for allocating the cost of patents or copyrights.,106
Annual Report (n),ˈæn.ju.əl rɪˈpɔːt,A comprehensive report on a company's activities throughout the preceding year,Báo cáo thường niên,Shareholders receive the annual report detailing the company's performance.,106
Balance Sheet (n),ˈbæl.əns ˌʃiːt,A financial statement that shows a company's financial position at a specific point in time,Bảng cân đối kế toán,The balance sheet provides an overview of the company's assets and liabilities.,106
Budget (n),ˈbʌdʒ.ɪt,An estimate of income and expenditure for a set period of time,Ngân sách,The company's budget outlines its financial plans for the upcoming year.,106
Bookkeeping (n),ˈbʊkˌkiː.pɪŋ,The activity or occupation of keeping records of the financial affairs of a business,Ghi sổ kế toán,Accurate bookkeeping is essential for maintaining financial records.,106
Bad Debt (n),ˌbæd ˈdet,An amount owed by a debtor that is unlikely to be recovered,Nợ xấu (khó trả được),The company had to write off the bad debt as it was deemed uncollectible.,106
Break-even Point (n),ˈbreɪkˌˈiː.vən pɔɪnt,The level of sales at which a company's total revenues equal its total expenses,Điểm hòa vốn,The company aims to reach the break-even point to cover its costs.,106
Cash Flow (n),ˈkæʃ ˌfləʊ,The movement of money into and out of a business,Dòng tiền,Monitoring cash flow is crucial for the financial health of a company.,106
Capital (n),ˈkæpɪtl,Financial assets or the value of ownership in a business,Vốn,The company raised additional capital to fund its expansion.,106
Cost Accounting (n),kɒst əˈkaʊn.tɪŋ,"The process of recording, classifying, and summarizing costs for managers’ decision-making",Kế toán chi phí,Cost accounting helps businesses analyze and control their expenses.,106
Credit (n),ˈkred.ɪt,Outgoing money (in accounting) ,Có,The shop was offering six months' interest-free credit on electronic goods.,106
Depreciation (n),dɪˌpriː.ʃiˈeɪ.ʃən,A reduction in the value of an tangible asset over time,Khấu hao đối với tài sản cố định hữu hình,Depreciation is accounted for to reflect the wear and tear of assets.,106
Debit (n),ˈdeb.ɪt,Incoming money (in accounting) ,Nợ,The debit entry in the ledger represents the purchase of equipment.,106
Dividend (n),ˈdɪv.ɪ.dend,A payment made by a company to its shareholders,Cổ tức,The company distributed dividends to its investors at the end of the year.,106
Equity (n),ˈek.wɪ.ti,The residual interest in the assets of an entity after deducting liabilities,Vốn chủ sở hữu,Equity represents the ownership stake of shareholders in a company.,106
Expense (n),ɪkˈspens,The cost incurred to generate revenue,Chi phí,Salaries and rent are examples of expenses recorded in the income statement.,106
Earnings (n),ˈɜː.nɪŋz,The net income generated by a company,Thu nhập,The company reported strong earnings for the fiscal year.,106
Forecasting (n),ˈfɔːkɑːstɪŋ,The process of estimating future trends or outcomes,"Dự báo, Dự đoán",Financial forecasting helps businesses plan for future financial needs.,106
Financial Statement (n),fəˈnæn.ʃəl ˈsteɪt.mənt,A formal record of the financial activities and position of a business,Báo cáo tài chính,The balance sheet and income statement are common financial statements.,106
Fixed Asset (n),fɪkst ˈæs.et,"A long-term, tangible asset used in the operation of a business",Tài sản cố định,Buildings and machinery are examples of fixed assets.,106
Fraud (n),frɔːd,Intentional deception to secure unfair or unlawful gain,"Gian lận, lừa đảo",Detecting and preventing fraud is crucial for the integrity of financial information.,106
Income Statement (n),ˈɪŋ.kʌm ˈsteɪt.mənt,A financial statement that shows a company's revenues and expenses over a specific period,Báo cáo thu nhập,Investors analyze the income statement to assess a company's profitability.,106
Income (n),ˈɪŋ.kʌm,"Money received, especially on a regular basis, for work or through investments",Thu nhập,His primary source of income is his job at the accounting firm.,106
Inventory (n),ˈɪn.vən.tər.i,"A complete list of items, such as property, goods in stock, or the contents of a building",Hàng tồn kho,The company conducts a yearly inventory to assess its stock levels.,106
Invoice (n),ˈɪn.vɔɪs,A document sent by a seller to a buyer that specifies the amount and cost of products or services,Hóa đơn,The vendor issued an invoice for the goods delivered to our office.,106
Investment (n),ɪnˈvest.mənt,The action or process of investing money for profit,Đầu tư,Making wise investments is crucial for the long-term success of a business.,106
Profit (n),ˈprɒf.ɪt,The financial gain obtained from a business transaction,Lợi nhuận,The company's goal is to maximize profit while maintaining quality.,106
Purchase (n),ˈpɜː.tʃəs,The act or process of buying goods or services,Mua hàng,The company made a significant purchase of new equipment this year.,106
Quarterly (adj) (adv),ˈkwɔː.təl.i,Occurring or produced four times a year,Hàng quý,The company reports its financial results on a quarterly basis.,106
Overhead cost (n),ˌəʊvəˈhed kɒst,Ongoing business expenses not directly tied to creating a product or service,Chi phí vận hành,Overhead costs can impact the overall profitability of a business.,106
Outsource (v),ˈaʊt.sɔːs,The practice of hiring an outside firm to perform tasks or services that could be done internally,Thuê ngoài,Many companies outsource their accounting functions to reduce costs.,106
Tax Deduction (n),tæks dɪˈdʌk.ʃən,An expense that a taxpayer is allowed to deduct from their income when calculating the amount of income subject to taxation,Khấu trừ thuế,Donations to charitable organizations may qualify for a tax deduction.,106
Trial Balance (n),traɪəl ˈbæl.əns,A statement of all the debit and credit balances in the accounts of a business at a given point in time,Bảng cân đối thử/ Số dư dùng thử,A trial balance is prepared to ensure the accuracy of the accounting records.,106
Revenue (n),ˈrev.ən.juː,The total income generated by a business from its operations,Doanh thu,Increasing sales is essential for a company to boost its revenue.,106
Receivables (n),rɪˈsiːvəblz,"Amounts owed to a company, often in the form of account receivables",Khoản phải thu,Managing account receivables effectively is crucial for cash flow management.,106
Return on Investment (n),rɪˈtɜːn ɒn ɪnˈvest.mənt,A measure of the profitability of an investment,Tỷ suất hoàn vốn,The return on investment for the new project exceeded our expectations.,106
Statement (n),ˈsteɪt.mənt,A printed or electronic document showing that money has been paid or received,Bản báo cáo,The company issued its annual financial statements for shareholders to review.,106
Stock (n),stɒk,The capital raised by a company through the issuance and subscription of shares,Cổ phiếu,Investors can buy and sell stocks to gain ownership in publicly traded companies.,106
Subsidiary (n),səbˈsɪd.i.ə.ri,"A company that is controlled by another company, usually through ownership of the majority of its shares",Công ty con,The parent company has several subsidiaries operating in different industries.,106
Yield (n),jiːld,The income generated from an investment or financial instrument,"Lợi suất, thu nhập từ đầu tư hoặc công cụ tài chính","The bond has a high yield, making it an attractive investment.",106
Venture Capital (n),ˈven.tʃər ˈkæp.ɪ.təl,Investment provided to startup companies or small businesses,Vốn đầu tư mạo hiểm,The startup secured venture capital to fund its expansion.,106
Working Capital (n),ˈwɜː.kɪŋ ˌkæp.ɪ.təl,The difference between a company's current assets and current liabilities,Vốn lưu động,Managing working capital efficiently is crucial for a business's success.,106
Withholding Tax (n),wɪðˈhəʊl.dɪŋ ˌtæks,A tax deducted from an individual's income at the source,Thuế khấu lưu,The employer is responsible for withholding tax from the employee's salary.,106
Accurate (adj),ˈæk.jə.rət,"Correct, free from errors or mistakes",Chính xác,It's essential to keep accurate records for financial analysis.,106
Comprehensive (adj),ˌkɒm.prɪˈhen.sɪv,Covering all or nearly all elements or aspects,"Toàn diện, đầy đủ",The auditor conducted a comprehensive review of the financial statements.,106
Transparent (adj),trænˈspær.ənt,Clear and easy to understand or recognize,Minh bạch,The company aims to be transparent in its financial reporting.,106
Consistent (adj),kənˈsɪs.tənt,Unchanging in achievement or effect over a period of time,Nhất quán,The accounting policies should be applied consistently across all periods.,106
Reliable (adj),rɪˈlaɪ.ə.bəl,"Dependable, trustworthy, able to be trusted or relied on",Đáng tin cậy,Financial statements should provide reliable information for decision-making.,106
Prudent (adj),ˈpruː.dənt,Acting with or showing care and thought for the future,Thận trọng,A prudent approach to financial management is crucial for long-term success.,106
Efficient (adj),ɪˈfɪʃ.ənt,Achieving maximum productivity with minimum wasted effort,Hiệu quả,An efficient accounting system helps streamline financial processes.,106
Analyze (v),ˈæn.əl.aɪz,Examine methodically and in detail the constitution or structure of (something),Phân tích,Financial analysts analyze company financial statements to assess performance.,106
Allocate (v),ˈæl.ə.keɪt,Distribute (resources or duties) for a particular purpose,Phân bổ,The budget committee must allocate funds wisely for various departments.,106
Record (v),rɪˈkɔːd,"Enter (something) in writing, especially in a book or record",Ghi chép,It's crucial to accurately record all financial transactions.,106
Calculate (v),ˈkæl.kjə.leɪt,Determine (the amount or number of something) mathematically,Tính toán,Accountants calculate depreciation based on the asset's useful life.,106
Verify (v),ˈver.ɪ.faɪ,"Make sure or demonstrate that (something) is true, accurate, or justified",Xác minh,The auditor will verify the accuracy of the financial statements.,106
Advertisement (n),/ədˈvɜːrtɪsmənt/,"A notice or announcement that promotes a product, service, or event.",Quảng cáo,The advertisement on TV was very persuasive.,103
Advertise (v),/ˈædvəˌtaɪz/,To promote or make something known to the public through advertising.,Quảng cáo,They plan to advertise their new product in newspapers.,103
Audience (n),/ˈɔːdiəns/,The group of people who receive or are exposed to a marketing message.,Khán giả,The advertisement reached a wide audience online.,103
Analysis (n),/əˈnæləsɪs/,The examination and evaluation of data or information for insights.,Phân tích,The market analysis indicated a growing trend in sales.,103
Awareness (n),/əˈwer.nəs/,"Knowledge or perception of a product, brand, or issue among the public.",Nhận thức,Increasing brand awareness is essential for business growth.,103
Affiliate (n),/əˈfɪl.i.eɪt/,A person or organization officially connected with or part of another.,Đối tác liên kết,The company has many affiliate partners in its marketing program.,103
Brand (n),/brænd/,"A name, term, or symbol that identifies and distinguishes a product or company.",Thương hiệu,Apple is a well-known brand known for its innovative products.,103
Business-to-business (B2B) (adj),/ˌbɪz.nɪs.təˈbɪz.nɪs/,"Commerce between companies, typically involving the sale of products or services.","Giao dịch, làm ăn giữa doanh nghiệp với doanh nghiệp",The B2B market is an essential part of the economy.,103
Buyer (n),/ˈbaɪər/,A person or entity that purchases goods or services from a seller.,Người mua,The buyer was interested in purchasing the latest model.,103
Budget (n),/ˈbʌdʒɪt/,A financial plan that outlines projected income and expenses for a specific period.,Ngân sách,They allocated a significant budget for marketing this year.,103
Buzz marketing,/bʌz ˈmɑːrkɪtɪŋ/,A marketing strategy that relies on word-of-mouth and viral tactics to create interest.,Marketing lan truyền,The buzz marketing campaign generated a lot of online discussions.,103
Campaign (n),/kæmˈpeɪn/,A coordinated series of activities or advertisements to achieve a specific goal.,Chiến dịch,The marketing campaign was designed to increase brand awareness.,103
Consumer (n),/kənˈsjuːmər/,A person who purchases goods or services for personal use.,Người tiêu dùng,Consumer preferences play a crucial role in product development.,103
Competition (n),/ˌkɑːm.pəˈtɪʃ.ən/,The rivalry between businesses or individuals in the same market.,Cuộc cạnh tranh,The competition for market share is fierce.,103
Customer (n),/ˈkʌstəmər/,A person or entity that buys products or services from a business.,Khách hàng,Our goal is to provide exceptional service to our customers.,103
Content (n),/ˈkɑːntent/,"Information, media, or material created and shared for marketing purposes.",Nội dung,High-quality content is essential for engaging an audience.,103
Digital (adj),/ˈdɪdʒɪtəl̩/,"Relating to or using technology, especially computer technology.",Kỹ thuật số,Digital marketing has become increasingly important.,103
Demographic (adj),/ˌdem.əˈɡræf.ɪk/,"Characteristics of a population, such as age, gender, income, etc.",Nhân khẩu học,We analyze demographic data to target our audience.,103
Data (n),/ˈdeɪtə/,Facts and statistics collected for analysis or reference.,Dữ liệu,Big data plays a crucial role in modern marketing.,103
Distribution (n),/ˌdɪstrɪˈbjuːʃən/,The process of getting products from the manufacturer to the consumer.,Phân phối,Efficient distribution ensures products reach customers on time.,103
Differentiate (v),/ˌdɪfəˈrenʃieɪt/,To make a product or brand distinct from others in the market.,Phân biệt,We need to differentiate our product to stand out.,103
Exposure (n),/ɪkˈspoʊʒər/,The extent to which a product or brand is seen or experienced by the public.,Tiếp xúc,The billboard provided great exposure for the new product.,103
Endorsement (n),/ɪnˈdɔːsmənt/,"Approval, support, or recommendation of a product or brand by a celebrity or influencer.",Sự chứng thực,Her endorsement of the skincare product boosted sales.,103
Efficiency (n),/ɪˈfɪʃənsi/,The ability to achieve a desired result with the least amount of resources.,Hiệu suất,Improving efficiency can lead to cost savings in marketing.,103
Global (adj),/ˈɡloʊbəl̩/,Relating to or involving the entire world or a large part of it.,Toàn cầu,The company's global expansion strategy was successful.,103
Gross margin (n),/ɡroʊs ˈmɑːrdʒɪn/,"The difference between total revenue and the cost of goods sold, expressed as a percentage.",Biên lợi nhuận gộp,Improving gross margin is essential for profitability.,103
Hyperlink (n),/ˈhaɪpəlɪŋk/,A clickable link in an electronic document that takes the user to another location.,Siêu liên kết ,You can access more information by clicking on the hyperlink.,103
Hit (n),/hɪt/,A single access or request made to a website's server.,Lượt truy cập,The website received a high number of hits during the promotion.,103
Headline (n),/ˈhedlaɪn/,A brief and catchy statement at the top of an article or advertisement.,Tiêu đề,The headline of the ad grabbed the reader's attention.,103
Logo (n),/ˈloʊɡoʊ/,A graphic symbol or design used to represent a brand or organization.,Biểu trưng,The company redesigned its logo to modernize its image.,103
Landing page (n),/ˈlændɪŋ peɪdʒ/,A web page specifically designed to capture visitor information or leads.,Trang đích,The landing page had a high conversion rate.,103
Launch (v),/lɔːntʃ/,To introduce a new product or service to the market.,Ra mắt,The company plans to launch its new smartphone next month.,103
Market (n),/ˈmɑːrkɪt/,A group of potential buyers or customers for a product or service.,Thị trường,Our company is expanding into new markets in Asia.,103
Merchandise (n),/ˈmɜː.tʃən.daɪz/,"Goods or products available for sale or trade, often in a retail setting.",Hàng hóa,The store offers a wide range of merchandise for customers.,103
Messaging (n),/ˈmes.ɪ.dʒɪŋ/,The process of creating and delivering messages to a target audience.,Truyền thông điệp,Effective messaging is key to conveying the brand's values.,103
Niche (n),/nitʃ/,A specialized segment or target market within a larger market.,Thị trường ngách,The company found success by catering to a niche audience.,103
Networking (n),/ˈnetˌwɜ:kɪŋ/,"The act of connecting with others, often for business or career purposes.",Mạng lưới,Business networking events can lead to valuable connections.,103
Need (n),/niːd/,Fundamental requirements or desires that must be satisfied.,Nhu cầu,Understanding customer needs is crucial for marketing success.,103
Target (n),/ˈtɑːɡɪt/,A specific group or audience that a marketing campaign is directed towards.,Đối tượng mục tiêu,We need to identify our target audience for this ad campaign.,103
Traffic (n),/ˈtræfɪk/,The number of visitors or users that a website or online content receives.,Lưu lượng truy cập,High website traffic is important for online advertising.,103
Trend (n),/trend/,A general direction in which something is developing or changing.,Xu hướng,Video marketing is a current trend in digital advertising.,103
Telemarketing (n),/ˈtel.ɪˌmɑː.kɪ.tɪŋ/,The practice of selling products or services over the phone.,Tiếp thị qua điện thoại,Telemarketing can be effective when done professionally.,103
Optimization (n),/ˌɑːp.tə.məˈzeɪ.ʃən/,The process of making improvements to maximize efficiency or performance.,Tối ưu hóa,Website optimization can lead to higher search engine rankings.,103
Offer (n),/ˈɒf.ər/,A proposal or promotion presented to potential customers to encourage a purchase.,"Ưu đãi, đề nghị",The company's special offer attracted many new customers.,103
Organic (adj),/ɔ:rˈɡænɪk/,Referring to natural or unpaid search engine results and online traffic.,Tự nhiên,Organic search results are often more trusted by users.,103
Online (adj),/ˈɑːn.laɪn/,Connected to or accessible via the internet or a computer network.,Trực tuyến,Online marketing is essential for reaching a global audience.,103
Outreach (n),/aʊtˈriːʧ/,Efforts to reach or communicate with a specific audience or community.,Sự tiếp cận,Our outreach campaign targeted local schools and businesses.,103
Unique selling point (USP),/juːˈniːk ˈsɛlɪŋ pɔɪnt/,A distinctive feature or benefit of a product or service that sets it apart from competitors.,Đặc điểm độc đáo nhất của sản phẩm,The USP of this product is its eco-friendly design.,103
Yield (n),/jiːld/,"The amount of results, profits, or returns generated from a specific effort or investment. ",Lợi nhuận,The marketing campaign yielded a 20% increase in sales.,103
Segmentation (n),/ˌseɡ.menˈteɪ.ʃən/,The process of dividing a market into distinct groups with common characteristics.,Phân chia thị trường,Market segmentation helps tailor marketing strategies to specific customer groups.,103
Sponsorship (n),/ˈspɒn.sə.ʃɪp/,"Financial support or endorsement provided by a company to an event, organization, or individual.",Tài trợ,The company's sponsorship of the sports event boosted its visibility.,103
Strategy (n),/ˈstrætədʒi/,"A plan of action designed to achieve a specific goal, often in the context of marketing.",Chiến lược,Developing a marketing strategy is crucial for long-term success.,103
Social media,/ˌsoʊ.ʃəl ˈmiː.di.ə/,Online platforms and websites used for social networking and content sharing.,Truyền thông  xã hội,Many businesses use social media for advertising and engagement.,103
Search engine (n),/ˈsɜːtʃ ˌen.dʒɪn/,"A program that searches for and identifies items in a database, often used for web searches.",Công cụ tìm kiếm,Google is the most popular search engine worldwide.,103
Viral (adj),/ˈvaɪrəl/,"Describes content, usually on the internet, that spreads rapidly and widely among users.","Lan truyền mạnh, lan tỏa",The video went viral on social media within hours.,103
Viewer (n),/ˈvjuːər/,"A person who watches or views content, such as television shows, advertisements, or online videos.",Người xem,The viewers of the TV commercial responded positively.,103
Visual content,/ˈvɪʒ.u.əl kənˈtent/,"Content that relies on images, graphics, and visual elements to convey information or messages.",Nội dung bằng hình ảnh,Visual content can be more engaging than text-only content.,103
Web design,/web dɪˈzaɪn/,"The process of creating and designing the layout, appearance, and functionality of a website.",Thiết kế website,Good web design can improve user experience and engagement.,103
Widget (n),/ˈwɪdʒɪt/,A small software application or tool that can be added to a website or a computer desktop for specific functions.,Tiện ích,The weather widget on the website provides real-time updates.,103
Word-of-mouth (adj),/wɜːrd əv ˈmaʊθ/,Informal communication or recommendations about a product or service made by individuals to others.,Truyền miệng,The success of the restaurant was driven by word-of-mouth recommendations.,103
Achievement (n),əˈtʃiːvmənt,a notable accomplishment,thành tựu,Winning the award was a great achievement for the company.,102
Advertise (v),ˈædvərˌtaɪz,to promote or publicize,quảng cáo,The company plans to advertise its new product on TV and social media.,102
Agreement (n),əˈɡriːmənt,a formal understanding or contract,"hiệp định, hợp đồng",They reached an agreement on the terms of the partnership.,102
Analysis (n),əˈnæləsɪs,examination or study,phân tích,The market analysis showed a growing demand for the product.,102
Asset (n),ˈæsət,a valuable resource or property,tài sản,The company's most valuable asset is its brand reputation.,102
Audit (n),ˈɑːdɪt,an official inspection of financial records,kiểm toán,The company hired an external firm to conduct a financial audit.,102
Automate (v),ˈɔːtəˌmeɪt,to use machines to perform tasks,tự động hóa,The factory decided to automate its production process to increase efficiency.,102
Balance (n),ˈbæləns,a state of equilibrium or equality,"cân đối, cân nhắc",The company strives to maintain a balance between work and personal life for its employees.,102
Benefit (n),ˈbenɪfɪt,an advantage or profit,lợi ích,"Joining the company comes with a range of benefits, including health insurance and paid leave.",102
Bonus (n),ˈboʊnəs,an additional reward or incentive,"tiền thưởng, thưởng thêm",The employees received a year-end bonus for their exceptional performance.,102
Brand-new (adj),brænd njuː,completely new and unused,hoàn toàn mới,The company launched a brand-new product line to cater to young consumers.,102
Brainstorm (n/v),ˈbreɪnˌstɔːrm,a group discussion to generate creative ideas,ý tưởng sáng tạo,The team held a brainstorming session to come up with innovative marketing strategies.,102
Budget (n),ˈbʌdʒɪt,a financial plan or allocation,ngân sách,The marketing department presented their budget proposal for the next quarter.,102
Business (n),ˈbɪznəs,"an organization engaged in commercial, industrial, or professional activities",doanh nghiệp,He started his own business after graduating from university.,102
Buyer (n),ˈbaɪər,a person who purchases goods or services,người mua,The company's top buyers were invited to the product launch event.,102
Client (n),ˈklaɪənt,a customer or patron,khách hàng,The company provides excellent service to its clients.,102
Collaborate (v),kəˈlæbəˌreɪt,to work together with others,cộng tác,The two companies decided to collaborate on a new project.,102
Competition (n),ˌkɒmpəˈtɪʃən,rivalry or contest,cạnh tranh,"The market is fierce, with many competitors vying for customers.",102
Contract (n) ,ˈkɒntrækt,a legally binding agreement,hợp đồng,They signed a contract to formalize their business relationship.,102
Corporation (n),ˌkɔːrpəˈreɪʃən,a large company or group,"công ty, tập đoàn",The multinational corporation operates in several countries.,102
Crisis (n),ˈkraɪsɪs,a time of intense difficulty,khủng hoảng,The company faced a financial crisis and had to restructure.,102
